pardalis,jaguarundi,tigrinus,wiedii,cachorro,landmean
35,24,0,0,18,3.28115942
0,0,0,0,2,2.590358547
0,2,2,0,0,2.286584877
12,3,6,0,21,1.349322211
0,3,0,2,42,3.646676853
2,0,0,3,2,3.117997904
9,3,0,0,0,3.515092817
2,2,2,0,11,1.889326475
0,0,0,0,7,2.106913699
0,0,0,0,5,1.186133161
1,1,0,4,1,3.01873385
0,0,0,0,2,1.448845414
0,0,0,0,9,2.72194617
17,4,0,4,9,3.287422714
2,0,0,2,5,3.456961619
0,2,0,0,0,1.953896729
2,0,0,0,0,2.155788967
0,2,0,2,12,3.084373254
0,1,0,7,22,3.115680552
0,0,0,0,1,2.927693303
0,0,2,0,10,1.384763432
16,10,0,5,9,3.234200743
1,0,0,3,5,2.911457325
3,0,0,4,12,2.710283375
4,0,0,9,38,2.100701239
0,3,2,0,4,1.973422194
11,2,0,6,98,1.750131602
0,0,0,0,1,2.419520411
0,0,0,2,2,1.414207826
27,2,2,0,5,1.878838906
0,0,0,0,4,2.223305085
4,2,2,0,8,3.152834576
0,0,1,0,1,2.328962704
0,0,0,0,3,2.08441337
3,3,0,0,18,3.512893983
0,0,2,0,2,2.465030478
0,0,0,0,1,3.673472242
0,0,1,0,1,3.074207782
1,0,0,2,2,3.608058608
0,4,2,0,6,2.696339701
0,0,1,0,1,2.293527949
10,0,0,0,8,3.01190572
0,2,4,0,34,2.777911647
0,0,0,0,2,3.475842765
0,0,0,0,7,3.213987957
3,0,0,0,2,3.511064278
